songTitle,artist,songCoverPixel,songCover,songSnippet,songFull,day,month
Sugar,Maroon 5 ,static/images/songCoverPixel/sugar.png,static/images/songCover/sugar.png,static/audio/songSnippet/sugar.mp3,static/audio/songFull/sugar.mp3,22,1
We Dont Talk Anymore,Charlie Puth ft Selena Gomez,static/images/songCoverPixel/wedonttalkanymore.png,static/images/songCover/wedonttalkanymore.png,static/audio/songSnippet/wedonttalkanymore.mp3,static/audio/songFull/wedonttalkanymore.mp3,4,4
IDGAF,Dua Lipa,static/images/songCoverPixel/idgaf.png,static/images/songCover/idgaf.png,static/audio/songSnippet/idgaf.mp3,static/audio/songFull/idgaf.mp3,24,2
Chandelier,Sia    ,static/images/songCoverPixel/chandelier.png,static/images/songCover/chandelier.png,static/audio/songSnippet/chandelier.mp3,static/audio/songFull/chandelier.mp3,25,1
Demons,Imagine Dragons,static/images/songCoverPixel/demons.jpg,static/images/songCover/demons.jpg,static/audio/songSnippet/demons.mp3,static/audio/songFull/demons.mp3,26,1
I Dont Wanna Live Forever,Zayn and Taylor Swift,static/images/songCoverPixel/idontwannaliveforever.png,static/images/songCover/idontwannaliveforever.png,static/audio/songSnippet/idontwannaliveforever.mp3,static/audio/songFull/idontwannaliveforever.mp3,5,4
Wild Ones,Flo Rida ft Sia,static/images/songCoverPixel/wildones.jpg,static/images/songCover/wildones.jpg,static/audio/songSnippet/wildones.mp3,static/audio/songFull/wildones.mp3,27,1
Dynamite,Taio Cruz,static/images/songCoverPixel/dynamite.jpg,static/images/songCover/dynamite.jpg,static/audio/songSnippet/dynamite.mp3,static/audio/songFull/dynamite.mp3,26,2
Waiting For Love,Avicii,static/images/songCoverPixel/waitingforlove.png,static/images/songCover/waitingforlove.png,static/audio/songSnippet/waitingforlove.mp3,static/audio/songFull/waitingforlove.mp3,6,4
How Deep Is Your Love,Calvin Harris and Disciples,static/images/songCoverPixel/howdeepisyourlove.png,static/images/songCover/howdeepisyourlove.png,static/audio/songSnippet/howdeepisyourlove.mp3,static/audio/songFull/howdeepisyourlove.mp3,28,1
Party Rock Anthem,LMFAO,static/images/songCoverPixel/partyrockanthem.jpg,static/images/songCover/partyrockanthem.jpg,static/audio/songSnippet/partyrockanthem.mp3,static/audio/songFull/partyrockanthem.mp3,7,4
Turn Down For What,DJ Snake,static/images/songCoverPixel/turndownforwhat.jpg,static/images/songCover/turndownforwhat.jpg,static/audio/songSnippet/turndownforwhat.mp3,static/audio/songFull/turndownforwhat.mp3,25,2
Get Lucky,Daft Punk ft Pharrell Williams,static/images/songCoverPixel/getlucky.jpg,static/images/songCover/getlucky.jpg,static/audio/songSnippet/getlucky.mp3,static/audio/songFull/getlucky.mp3,30,1
Rude,Magic!,static/images/songCoverPixel/rude.png,static/images/songCover/rude.png,static/audio/songSnippet/rude.mp3,static/audio/songFull/rude.mp3,8,4
Blurred Lines,Robin Thicke,static/images/songCoverPixel/blurredlines.png,static/images/songCover/blurredlines.png,static/audio/songSnippet/blurredlines.mp3,static/audio/songFull/blurredlines.mp3,9,4
Cake By The Ocean,DNCE,static/images/songCoverPixel/cakebytheocean.png,static/images/songCover/cakebytheocean.png,static/audio/songSnippet/cakebytheocean.mp3,static/audio/songFull/cakebytheocean.mp3,29,1
Feel It Still,Portugal. The Man,static/images/songCoverPixel/feelitstill.jpg,static/images/songCover/feelitstill.jpg,static/audio/songSnippet/feelitstill.mp3,static/audio/songFull/feelitstill.mp3,10,4
Love Me Again,John Newman,static/images/songCoverPixel/lovemeagain.jpg,static/images/songCover/lovemeagain.jpg,static/audio/songSnippet/lovemeagain.mp3,static/audio/songFull/lovemeagain.mp3,27,2
Teach Me How To Dougie,Cali Swag District,static/images/songCoverPixel/teachmehowtodougie.jpg,static/images/songCover/teachmehowtodougie.jpg,static/audio/songSnippet/teachmehowtodougie.mp3,static/audio/songFull/teachmehowtodougie.mp3,28,2
